,ADF_statistic_in,ADF_statistic_out,ASR_in,ASR_out,PS_in,PS_out,date_in,date_out,hedge_ratio_in,hedge_ratio_out,intercept_in,intercept_out,reason,sigma_in,sigma_out,spread_in,spread_out,stock_1_in,stock_1_log_in,stock_1_log_out,stock_1_out,stock_2_in,stock_2_log_in,stock_2_log_out,stock_2_out
"(2836, 2845)",-3.714289555581106,-4.474113479955381,2.543384915653691,0.10559542155137504,4.9544301936365285,0.0038404945374133424,2001-02-12,2001-02-19,0.9189476577433794,0.9104682968253914,-0.23730741191895185,-0.226894626758476,take_profit,0.06897690280151696,0.0707198023414093,-0.17543481411388906,-0.007467687340271034,6.03,1.7967470107390942,1.7351891177396608,5.67,3.45,1.2383742310432684,1.3454723665996355,3.84
"(2820, 2845)",-3.2215125799181314,-3.2737537990825363,2.5485940558542466,0.0011285582064180786,3.135460793086422,0.00017605209614875375,2001-02-19,2001-02-26,1.1373429511678412,1.138715171691466,0.19097823713494844,0.19167639252244742,reversion,0.0736017421395491,0.07508106954437864,0.18758096251737189,-8.473335718095498e-05,2.34,0.85015092936961,0.9783261227936078,2.66,3.84,1.3454723665996355,1.3056264580524357,3.69
"(2820, 2834)",-3.1403661781991823,,2.6039211462546743,,2.978296412217102,,2001-02-12,2001-03-05,0.6297449524392547,,1.8637006157576348,,cointegration_invalid,0.054533886771468275,,-0.14200194095168428,,2.62,0.9631743177730056,,2.75,10.26,2.3282528397426234,,9.73
"(2816, 2834)",-2.425784868513986,,2.561370575368991,,1.4925241739262787,,2001-02-19,2001-03-05,0.44339632572660437,,0.41656839663839695,,cointegration_invalid,0.07746141216254877,,-0.1984073818396821,,107.35,4.67609452432479,,108.94,9.89,2.2915241456346207,,9.73
"(2834, 2845)",-3.6185474873680774,,3.692537944357487,,8.284044049325965,,2000-12-26,2001-03-12,1.9290025298856264,,-3.507638590469862,,cointegration_invalid,0.08917693705722157,,0.32928922384536996,,8.66,2.1587147225743437,,9.36,2.68,0.9858167945227654,,3.25
"(2836, 2845)",-3.6296451431124885,,2.7634649905341897,,5.240989785152448,,2001-03-05,2001-03-12,0.9036661131569611,,-0.2196622940918417,,cointegration_invalid,0.07412346518151695,,-0.20483760100620207,,6.52,1.8748743759385615,,6.14,3.56,1.269760544863939,,3.25
"(2836, 2845)",-2.1688505834611256,,2.836080161215907,,1.1924544076426715,,2001-03-19,2001-03-26,0.8694005511332261,,-0.17759801237510814,,cointegration_invalid,0.08288831046569158,,-0.2350778929084527,,6.06,1.801709800081223,,6.39,3.17,1.1537315878891892,,3.3
"(2809, 2834)",-2.029693343043298,,2.6660105095017044,,1.0295448303264607,,2001-04-02,2001-04-09,0.475657712767629,,1.7014625088964652,,cointegration_invalid,0.06046261929039925,,-0.1611939784602049,,3.67,1.3001916620664788,,3.55,8.66,2.1587147225743437,,7.91
"(2820, 2832)",-3.734187351224303,-2.0839621995818502,2.6979942839517306,0.4295298972532573,5.591211153502915,0.9315052746754102,2001-01-15,2001-04-30,0.9434434163046154,1.0791380602152667,0.5522565811837624,0.3894824651687009,take_profit,0.09362886796009645,0.13245172322870452,-0.25261015056921154,-0.056891975069442324,2.63,0.9669838461896731,0.8285518175661483,2.29,3.36,1.2119409739751128,1.2267122912954254,3.41
"(2834, 2849)",-2.3552152772887402,,2.9623485247074233,,1.4707280204507631,,2001-04-09,2001-04-30,1.0783879553083324,,-0.2562569079701821,,cointegration_invalid,0.08533641316336794,,0.25279619763832617,,7.91,2.0681277817795625,,8.12,9.27,2.2267833795777636,,10.22
"(2832, 2834)",-4.053081991028786,,3.53017443694617,,13.325098949280244,,2001-04-02,2001-05-02,0.640834765817963,,1.5200613093976694,,cointegration_invalid,0.0531224993031398,,-0.18753168906663487,,3.63,1.2892326482767593,,3.34,8.66,2.1587147225743437,,8.08
"(2812, 2849)",-3.485624720894139,-3.010424980674598,2.843194274052599,4.227208850302257,4.7226548644415285,4.291215283761705,2001-04-30,2001-05-07,0.7008304940034856,0.72464161442464,1.26447306854493,1.2376903996247117,stop_loss,0.05771869978721791,0.059285990724636556,0.1641054767407789,0.25061426469012116,3.59,1.2781522025001875,1.1537315878891892,3.17,10.22,2.3243465847755584,2.3243465847755584,10.22
"(2812, 2845)",-2.1932078370509616,,2.618852992251896,,1.2044321653603969,,2001-05-02,2001-05-07,1.0474477497464842,,-0.3835316279200519,,cointegration_invalid,0.10825007380112409,,0.2834910296855624,,3.34,1.205970806988609,,3.17,3.2,1.1631508098056809,,3.25
"(2823, 2832)",-4.998785008025374,-4.354626470971407,3.0534064405593297,1.0188826947903193,28.429213337600963,1.045031601204346,2001-04-02,2001-05-21,0.5718263281434064,0.5475182823457958,0.5941248614710164,0.6336971399141178,reversion,0.045139397257446014,0.05023525629209908,0.1378289263088518,-0.05118383330437626,2.65,0.9745596399981308,0.9242589015233319,2.52,3.63,1.2892326482767593,1.0885619528146082,2.97
"(2812, 2832)",-3.8562270149743885,-3.545513180534666,3.1272388369849238,0.44242274445757895,8.30101731031673,0.283554865626762,2001-05-07,2001-06-01,0.943793388600904,0.8689785321296647,-0.06998093313731721,0.04493237565511806,reversion,0.05981874266963401,0.06768490092954443,0.18706749525608668,-0.029945339627588385,3.17,1.1537315878891892,1.2584609896100056,3.52,3.34,1.205970806988609,1.1085626195212777,3.03
"(2812, 2823)",-2.8948623502677338,-3.2067421699496044,2.778131632835368,0.078490029344749,2.4951559289528578,0.046379497741952,2001-05-07,2001-06-01,1.705644040902247,1.6121367448223827,-1.2590215847075867,-1.107575724550312,reversion,0.0997011690420803,0.11406249078564382,0.27698297154646956,-0.008952768248900345,3.17,1.1537315878891892,1.2584609896100056,3.52,2.68,0.9858167945227654,0.9122827104766164,2.49
"(2812, 2838)",-3.3159794171245935,-2.8912112889454673,2.6690300496225285,0.1756267909520123,3.6397569352780805,0.21221240286308063,2001-05-21,2001-06-01,0.9660452602944656,0.9138394059512343,0.3260481171238405,0.4016226582863298,take_profit,0.060434239296113884,0.06088139171677683,0.1613008007074066,0.010692403455909938,2.99,1.095273387402595,1.2584609896100056,3.52,4.69,1.545432582458188,1.5623463049002497,4.77
"(2823, 2834)",-2.840980204980045,,3.1310891796451013,,2.6113798611038517,,2001-04-09,2001-06-04,0.3705656871221912,,1.8935438333077361,,cointegration_invalid,0.050776247998510285,,-0.1589849606911118,,2.46,0.9001613499442714,,2.47,7.91,2.0681277817795625,,7.87
"(2809, 2849)",-3.0445735830980833,-2.5360917660471025,2.527026321864366,0.9596651664948177,2.633634637862294,0.9781704416016903,2001-04-30,2001-07-16,0.5559826359622366,0.43570448129664097,1.5225417391269567,1.696622076753032,reversion,0.06414922372482314,0.06862862381050387,0.16210677687979413,-0.06586049969541741,3.16,1.1505720275988207,0.7975071958841882,2.22,10.22,2.3243465847755584,1.9782390361706734,7.23
"(2816, 2834)",-2.6174405498961146,,2.829457372661329,,1.9006399111300967,,2001-07-09,2001-07-16,-0.32981873173134346,,3.7183717810616783,,cointegration_invalid,0.1253915141296823,,-0.3547899441233968,,107.35,4.67609452432479,,105.76,6.18,1.8213182714695995,,5.11
"(2834, 2836)",-2.3275095091484928,,2.785182715605456,,1.3986009345360706,,2001-07-09,2001-07-16,-3.999036666166763,,10.515271321426459,,cointegration_invalid,0.5104964898388986,,-1.4218259998765568,,6.18,1.8213182714695995,,5.11,6.11,1.809926773183504,,5.54
"(2836, 2850)",-2.171785343698276,,3.419366031921411,,1.2351622991435371,,2001-07-16,2001-07-23,0.5954624201700772,,0.10019102008979774,,cointegration_invalid,0.08384896007565396,,-0.28671028589462566,,5.54,1.7119945007591924,,5.04,2.3,0.8329091229351039,,2.3
"(2845, 2851)",-2.134286064190949,,2.9076938420132095,,1.1541124535786165,,2001-07-16,2001-07-23,0.5872495425712024,,0.23570436008469228,,cointegration_invalid,0.07035055981567935,,0.20455788955823279,,2.28,0.8241754429663494,,2.24,2.52,0.9242589015233319,,2.4
"(2850, 2851)",-2.1231407548934644,,2.908077824416161,,1.1404829468801674,,2001-07-16,2001-07-23,0.6367188874740374,,0.21777896226207874,,cointegration_invalid,0.060572990055519735,,0.1761509691390376,,2.3,0.8329091229351039,,2.3,2.52,0.9242589015233319,,2.4
