,ADF_statistic_in,ADF_statistic_out,ASR_in,ASR_out,PS_in,PS_out,date_in,date_out,hedge_ratio_in,hedge_ratio_out,intercept_in,intercept_out,reason,sigma_in,sigma_out,spread_in,spread_out,stock_1_in,stock_1_log_in,stock_1_log_out,stock_1_out,stock_2_in,stock_2_log_in,stock_2_log_out,stock_2_out
"(2809, 2816)",-3.432055588155909,-2.4380562780806714,2.034845940465329,4.666542011837365,2.7658862002313622,1.9636204149046077,2000-11-13,2000-12-01,1.3484882129047697,1.259167798345585,2.3567962535608777,2.523056934637737,stop_loss,0.07379518590319376,0.0780718925624009,0.15016183446099807,0.36432576658609683,3.15,1.1474024528375417,1.0543120297715298,2.87,57.64,4.054216771131322,4.214938458520516,67.69
"(2809, 2812)",-2.709090169542618,-2.0565342800542736,3.336841337691199,4.090071612942731,2.3501311496605855,1.0828885624918432,2000-11-13,2000-12-04,1.157086420611999,0.9965238513510546,-0.24474744170437218,0.03255675235380632,stop_loss,0.05767923178958571,0.057867609919746446,0.1924664449617619,0.23668266864159815,3.15,1.1474024528375417,1.0508216248317612,2.86,3.58,1.275362800412609,1.3164082336557241,3.73
"(2816, 2845)",-2.9521427918873275,-2.615544012529303,2.810982229015222,4.078890980660133,2.675327812766807,2.3758309340884343,2000-12-01,2000-12-04,0.7939057777000826,0.7881189683832802,-2.365680503031791,-2.3447419670212186,stop_loss,0.06673502748325244,0.06382189411736208,-0.18759097630826504,-0.2603225482839542,67.69,4.214938458520516,4.311604170377335,74.56,2.21,0.7929925155296614,0.7929925155296614,2.21
"(2812, 2845)",-3.2176386399962245,-3.2025546454510447,2.1563501282912854,0.04498394071103062,2.548880583480996,0.024000928170110153,2000-11-27,2000-12-11,0.9443632230759922,1.0070959087846623,-0.29627598457051174,-0.4049549654979657,reversion,0.05098566596062558,0.054400716675936614,-0.1099429473352116,0.0024471586135879075,3.39,1.220829921392359,1.2267122912954254,3.41,2.11,0.7466879474879751,0.8329091229351039,2.3
"(2816, 2820)",-2.8298609273525863,,2.7897462796516166,,2.3429161229922078,,2000-12-01,2000-12-11,0.587134405612813,,-1.7453401598741973,,cointegration_invalid,0.06291257191292404,,-0.17551011343739464,,67.69,4.214938458520516,,78.27,1.74,0.5538851132264376,,1.79
"(2812, 2823)",-2.9368025424861495,-3.0312685993106707,2.265990077777327,0.4911132494486187,2.151823277703051,0.4803140975182692,2000-12-01,2000-12-11,1.1628700077359078,1.257562157444209,-0.3944107242344314,-0.5535065857897736,take_profit,0.1114330895891958,0.10805452857212672,-0.25250627534518966,-0.05306701064469577,3.61,1.2837077723447896,1.2267122912954254,3.41,2.33,0.8458682675776092,0.9360933591703348,2.55
"(2812, 2836)",-2.8710875779404588,-3.9476988022723742,2.1776461448733517,0.6464799403734628,1.9697746677390844,0.42758090780080527,2000-12-01,2000-12-11,0.8504159782674509,0.9203483458293653,0.19743791575516856,0.08393556247712472,reversion,0.10623085994942139,0.09656078392336043,-0.23133322263543843,0.06242460983318887,3.61,1.2837077723447896,1.2267122912954254,3.41,2.88,1.0577902941478545,1.275362800412609,3.58
"(2812, 2816)",-4.925496241260889,-4.0667606956340645,2.2670707164395445,4.096068868149716,10.962553303919561,18.43387182581701,2000-12-04,2000-12-11,1.2524696907611799,1.2361384477749273,2.5071221726815693,2.541314513744737,stop_loss,0.06868801367522877,0.0738424221320009,0.1557205843735101,0.30246364644365853,3.73,1.3164082336557241,1.2267122912954254,3.41,74.56,4.311604170377335,4.360164387816747,78.27
"(2834, 2845)",-4.141988445677165,-4.123007159213071,2.1936358015369546,1.081185216732222,5.379853774601309,1.180239519507413,2000-11-27,2000-12-18,1.8924336133533157,1.9578287060485735,-3.4069142938187396,-3.5836436903625866,reversion,0.08340266765102693,0.08577741609449939,-0.1829550777029807,0.09274127421086131,9.89,2.2915241456346207,2.2710944259026746,9.69,2.11,0.7466879474879751,0.9555114450274363,2.6
"(2801, 2816)",-3.008864584266292,,2.8846156194968846,,2.9118328362546406,,2000-12-04,2000-12-18,1.632824133939384,,1.0956533610446815,,cointegration_invalid,0.12670816773609883,,0.3655043597693819,,5.73,1.7457155307266483,,5.67,74.56,4.311604170377335,,98.89
"(2809, 2845)",-2.0884304622066656,,2.026749763971117,,1.0644627723972566,,2000-12-11,2000-12-18,0.970084640484796,,-0.3123793689326191,,cointegration_invalid,0.06716765653906068,,0.13613203203703428,,2.83,1.0402767116551463,,2.77,2.3,0.8329091229351039,,2.6
"(2820, 2834)",-4.577159539784203,-4.477866328524139,2.1073262991774326,1.8919694494986214,6.82823506593093,4.8546304126837425,2000-11-27,2000-12-26,0.71094296186819,0.6599945533889144,1.8010440508803969,1.8566038510228509,reversion,0.0420315643561034,0.04146515596284639,0.08857422096318546,-0.07845080830040096,1.76,0.5653138090500605,0.5766133643039938,1.78,9.89,2.2915241456346207,2.1587147225743437,8.66
"(2809, 2834)",-3.424662772516803,-3.3417948388640544,2.6592489914306636,0.2865333729469964,4.028453353014656,0.18691342744274064,2000-11-27,2000-12-26,0.531984499916817,0.46261889213028357,1.602422727817159,1.7279811495917372,reversion,0.04682878837320821,0.05182315302807627,0.12452940825137393,-0.014849062833883042,2.89,1.0612565021243408,0.9631743177730056,2.62,9.89,2.2915241456346207,2.1587147225743437,8.66
"(2823, 2834)",-3.3711242059336652,-3.5909946062709577,2.4227572850093915,0.6889784094535433,3.36462461338019,0.5528228713593271,2000-11-27,2000-12-26,0.44173559599092127,0.3871273033403806,1.7927435122680926,1.8842749558063734,reversion,0.05008961067235368,0.04977956188268149,0.12135496915972904,-0.03429704336922412,2.35,0.8544153281560676,0.7975071958841882,2.22,9.89,2.2915241456346207,2.1587147225743437,8.66
"(2816, 2834)",-3.012278006197176,-2.0528546192945205,3.7255014244219673,4.09824521036093,3.786149368835981,1.0774041173725686,2000-12-18,2000-12-26,0.4151995245619276,0.41602473658299244,0.5665794276321795,0.5571557756933132,stop_loss,0.05446649092366599,0.06099202370872687,-0.2029149895193838,-0.24996026903451019,98.89,4.5940081212819,4.4505027059759525,85.67,9.69,2.2710944259026746,2.1587147225743437,8.66
"(2801, 2845)",-2.2071652657261502,,2.0709294613129337,,1.162782453844675,,2000-12-18,2000-12-26,1.2729845915148879,,-1.4480932017283565,,cointegration_invalid,0.09403296449577443,,0.19473563650889236,,5.67,1.7351891177396608,,5.19,2.6,0.9555114450274363,,2.68
"(2823, 2836)",-3.9660352406744144,-2.5721621121405294,2.1059404755567264,4.528658747320634,4.324206394905944,2.3731268311368727,2000-12-11,2001-01-02,0.7398434045274002,0.7123225635200504,0.4763520289260788,0.528746382871299,stop_loss,0.0505466678275029,0.05591514432642958,0.10644827368245935,0.25322060746158104,2.55,0.9360933591703348,0.8796267475025636,2.41,3.58,1.275362800412609,1.4085449700547104,4.09
"(2809, 2836)",-3.1969771462113608,,2.2363810317004935,,2.6205855031551355,,2000-12-11,2001-01-02,0.8871148352668593,,0.16755217793586738,,cointegration_invalid,0.08270760490406803,,0.18496571878483647,,2.83,1.0402767116551463,,2.9,3.58,1.275362800412609,,4.09
"(2845, 2849)",-2.102060601115044,,2.908061623773127,,1.1151047419236264,,2000-12-26,2001-01-02,0.6058071505427398,,1.6153770590808763,,cointegration_invalid,0.06117004984875237,,-0.17788627448944594,,2.68,0.9858167945227654,,2.68,7.65,2.0347056478384444,,8.08
"(2820, 2845)",-2.752927597328573,-2.9103251307737112,2.3711289651002927,0.48139318037894413,1.9156408943208294,0.5140101684136433,2000-12-18,2001-01-08,1.3071174296496828,1.1853108341039562,0.04005546120276824,0.1553104081790876,take_profit,0.08074765275148373,0.07720688855112355,0.19146309830290342,0.03716686962678806,1.74,0.5538851132264376,0.8241754429663494,2.28,2.6,0.9555114450274363,1.169381359556317,3.22
