,ADF_statistic_in,ADF_statistic_out,ASR_in,ASR_out,PS_in,PS_out,date_in,date_out,hedge_ratio_in,hedge_ratio_out,intercept_in,intercept_out,reason,sigma_in,sigma_out,spread_in,spread_out,stock_1_in,stock_1_log_in,stock_1_log_out,stock_1_out,stock_2_in,stock_2_log_in,stock_2_log_out,stock_2_out
"(2838, 2851)",-2.117929692515179,,4.13759598803312,,1.1823142164373648,,2001-12-17,2001-12-24,0.09416049982895264,,0.8171963222378313,,cointegration_invalid,0.04618406047950624,,0.19109098335108402,,5.01,1.6114359150967734,,4.37,3.19,1.1600209167967532,,2.97
"(2834, 2851)",-2.099822622401219,,4.27031465392917,,1.1559369815702305,,2001-12-17,2001-12-24,0.04465756347969615,,0.8749501232298877,,cointegration_invalid,0.046542022162354514,,0.1987490792633987,,6.91,1.9329696377795786,,5.99,3.19,1.1600209167967532,,2.97
"(2816, 2834)",-2.7423373195161758,,4.987021094678709,,3.2963519107513624,,2001-12-17,2001-12-31,-8.232059590224884,,40.470981511287604,,cointegration_invalid,0.44685010142124204,,2.2284508819470545,,141.48,4.95215836433728,,140.33,6.91,1.9329696377795786,,5.76
"(2816, 2820)",-2.703247705488479,,5.31832369066168,,3.2389141673284634,,2001-12-17,2001-12-31,-6.9007746688021925,,33.01191613878797,,cointegration_invalid,0.3667076942902771,,1.9502702180919016,,141.48,4.95215836433728,,140.33,2.2,0.7884573603642703,,1.93
"(2812, 2816)",-2.627910486219028,,5.066197154485591,,2.769984071174102,,2001-12-17,2001-12-31,-0.2362011606148904,,4.985925400158125,,cointegration_invalid,0.059119239904989865,,0.29950972498201067,,4.1,1.410986973710262,,3.63,141.48,4.95215836433728,,140.33
"(2801, 2816)",-2.5914590886605557,,5.225870085843477,,2.659263890441036,,2001-12-17,2001-12-31,-0.2048488115862688,,5.0546238885660015,,cointegration_invalid,0.053765386934377005,,0.2809709272341605,,6.5,1.8718021769015913,,6.08,141.48,4.95215836433728,,140.33
"(2809, 2816)",-2.4293939193737586,,4.962220509275347,,1.9893860568729766,,2001-12-17,2001-12-31,-0.13786110983413113,,4.83182048944567,,cointegration_invalid,0.05881608998924149,,0.2918584080199985,,3.47,1.244154593958768,,3.0,141.48,4.95215836433728,,140.33
"(2816, 2838)",-2.1751525821628657,,5.12005421149799,,1.3311631003444448,,2001-12-17,2001-12-31,-4.856706941895028,,24.266438418822545,,cointegration_invalid,0.2726884021226287,,1.3961794017146225,,141.48,4.95215836433728,,140.33,5.01,1.6114359150967734,,4.45
"(2816, 2850)",-2.0773768741303607,,4.803747904197914,,1.129115959442536,,2001-12-17,2001-12-31,-7.663255846327015,,36.92925051103996,,cointegration_invalid,0.465328076191465,,2.2353187707691973,,141.48,4.95215836433728,,140.33,3.37,1.2149127443642704,,2.91
"(2816, 2823)",-2.066645101494987,,4.3332840401037265,,1.1026577749814337,,2001-12-17,2001-12-31,194.8529294726092,,-911.3570931544832,,cointegration_invalid,12.062848222472915,,-52.271747680635485,,141.48,4.95215836433728,,140.33,3.72,1.3137236682850553,,3.42
