,ADF_statistic_in,ADF_statistic_out,ASR_in,ASR_out,PS_in,PS_out,date_in,date_out,hedge_ratio_in,hedge_ratio_out,intercept_in,intercept_out,reason,sigma_in,sigma_out,spread_in,spread_out,stock_1_in,stock_1_log_in,stock_1_log_out,stock_1_out,stock_2_in,stock_2_log_in,stock_2_log_out,stock_2_out
"(1471, 2431)",-3.26952118497763,-2.3854810927582104,2.99025552575297,4.618628506527397,4.482214094354012,2.1018828797886946,2000-12-01,2000-12-11,1.1181899086384415,1.1926966407228967,0.06166370525935711,-0.11011210801178811,stop_loss,0.11046517401261803,0.14016649166344325,-0.33031909699449447,-0.6473769540567138,5.44,1.6937790608678513,1.9035989509835904,6.71,5.08,1.6253112615903906,1.5129270120532565,4.54
"(1471, 2462)",-2.3727170673557767,,1.7842333881042012,,1.3148175496739873,,2000-12-01,2000-12-11,0.5285141796625121,,0.3224745808262638,,cointegration_invalid,0.15780865576067665,,-0.28156747254004166,,5.44,1.6937790608678513,,6.71,2.55,0.9360933591703348,,2.57
"(1471, 2375)",-2.816636761155316,,2.204375297057075,,2.063802534415592,,2000-12-04,2000-12-11,1.643375259827568,,0.3203997518748291,,cointegration_invalid,0.2096656190061794,,-0.4621817111794022,,5.76,1.7509374747078,,6.71,15.42,2.7356653681351832,,13.92
"(2328, 2492)",-3.132202899909765,-2.917670422548265,1.8571648080656222,0.7536130874477764,2.14426421874945,0.7498555199366549,2000-11-20,2000-12-18,1.1943368830565906,1.077619165621444,0.6905594191620299,1.0731409895900725,reversion,0.1733592795186987,0.1493184066298672,0.3219567530737386,-0.11252830543311676,6.74,1.9080599249242156,1.9050881545350582,6.72,26.88,3.2913825156549485,3.013572191682322,20.36
"(2428, 2462)",-2.156587512538238,,1.804405709310143,,1.163515445483941,,2000-11-20,2000-12-18,0.3179962880468682,,0.6858268256995387,,cointegration_invalid,0.17255198415281867,,-0.31135378535813935,,4.77,1.5623463049002497,,4.67,2.39,0.8712933659434193,,2.32
"(2392, 2431)",-2.118241620420658,-2.319109579728203,1.64870557250067,0.45105592999626015,1.1152947639104906,0.7162830050109988,2000-11-27,2000-12-18,2.587366403190009,3.1071374278898767,-5.079805727299987,-6.6272119508577045,take profit,0.34677399750231197,0.4244309846247549,-0.5717282220803952,-0.19144211248914722,17.23,2.8466520505398383,2.7013612129514133,14.9,5.55,1.713797927758343,1.5748464676644813,4.83
"(2413, 2420)",-2.9729705996194586,-3.096900371826539,2.7653898322427395,0.043115497754128596,2.9784587401349856,0.023216257597812675,2000-11-20,2000-12-26,1.3945847504410243,1.0777953254057684,-3.877399979651667,-2.5755069508160204,take profit,0.15442937674505366,0.15620433746962095,0.42705742825035475,0.006734827761356588,32.02,3.4663607075685685,3.5403794457954922,34.48,3.99,1.3837912309017721,1.247032293786383,3.48
"(2392, 2428)",-2.5267508843594886,-3.0158307073987203,1.6093608195865998,0.3908811960354345,1.3474734484300774,0.3505831481850355,2000-11-27,2000-12-26,2.70564790084961,3.1770672092910344,-5.477223148208145,-6.849484182917087,take profit,0.34734084744127786,0.3912858543743815,-0.558996750913999,-0.1529462827496051,17.23,2.8466520505398383,2.6609585935683597,14.31,5.29,1.665818245870208,1.451613827240533,4.27
"(2420, 2428)",-2.656338793656748,-3.3880667138260554,1.6017286538801658,0.03358907983545673,1.428034026677472,0.006410390109686887,2000-12-01,2000-12-26,1.7156374697405823,1.909304911217946,-0.5736453306345456,-0.9210897422121876,take profit,0.2188783944031509,0.2459523619423514,-0.3505837960308109,-0.00826131352100079,4.45,1.4929040961781488,1.247032293786383,3.48,5.14,1.6370530794670737,1.451613827240533,4.27
"(1471, 2483)",-2.3628001594059005,,1.6556522137693808,,1.2628127000830212,,2000-12-01,2000-12-26,0.7648023692685334,,1.7310308228310138,,cointegration_invalid,0.17915922574170087,,-0.2966253687164553,,5.44,1.6937790608678513,,5.76,15.33,2.7298116928837226,,11.59
"(1471, 2476)",-2.1689983196415974,,1.8489659696750813,,1.179786521926549,,2000-12-11,2000-12-26,0.6661272884823864,,1.8358393427874429,,cointegration_invalid,0.24946708709049895,,-0.46125615458430236,,6.71,1.9035989509835904,,5.76,14.05,2.642622395779755,,10.69
"(2462, 2492)",-1.9765111936888393,-2.385223611019231,1.8162975313213399,0.2901381674820449,1.046720442872153,0.5485840689735544,2000-11-20,2001-01-02,2.660364953512616,2.2894356843078083,0.36448365139235217,0.9112278282884232,reversion,0.33526474532819645,0.2977160364020517,0.6089405292786809,-0.08637878523170905,2.39,0.8712933659434193,0.8878912573524571,2.43,26.88,3.2913825156549485,2.857618971424357,17.42
"(1471, 2428)",-2.8536609714960988,-2.7521631393286583,2.182482988827431,0.06379225009434927,2.1049617737138453,0.095822451882901,2000-12-11,2001-01-02,1.31095365056451,1.5720067285973716,-0.38861415104041386,-0.9345214679319189,reversion,0.25240916427544663,0.2707455851092827,-0.5508787072553107,0.017271470077232287,6.71,1.9035989509835904,1.589235205116581,4.9,4.74,1.556037135706985,1.5810384379124025,4.86
"(2428, 2460)",-2.423789449303781,,1.5536922884875952,,1.2596067326799474,,2000-12-11,2001-01-02,0.5175204548602371,,0.5767275437922182,,cointegration_invalid,0.15099909997850844,,-0.23460613720517598,,4.74,1.556037135706985,,4.86,3.15,1.1474024528375417,,2.55
"(2327, 2375)",-2.1454767992540997,,1.5437234971564904,,1.1124729015011812,,2000-12-11,2001-01-02,2.9529192360905894,,-8.423085782662234,,cointegration_invalid,0.3354440634405385,,-0.5178328827148118,,50.38,3.919594270924464,,46.8,13.92,2.6333266549062735,,11.43
"(1471, 2484)",-3.873830332159794,-4.7647605677463645,1.6555357684727732,0.16476549979182817,2.7048774105832183,0.005708334311365708,2000-12-11,2001-01-08,0.6020332116288526,0.8724209078167617,2.5000080939442277,1.9384456128129173,take profit,0.17338939856923327,0.18729396257994718,-0.28705235120534756,-0.03085958335247696,6.71,1.9035989509835904,1.7047480922384253,5.5,28.76,3.358985532852846,3.39484390768998,29.81
"(2421, 2484)",-3.5764021451826595,-4.1610619320616395,2.322416167124288,0.10108389542756607,4.106413493218616,0.005617256967568311,2000-12-26,2001-01-08,0.6666117285859566,0.7399695419799076,2.384784276722396,2.2442851605142304,take profit,0.12810061795299482,0.1158369955812561,-0.29750294615264694,-0.011709254747979125,4.27,1.451613827240533,1.5706970841176697,4.81,21.22,3.054944133185837,3.39484390768998,29.81
"(2327, 2328)",-1.9959829284715465,,2.294974543234072,,1.0830001498918094,,2000-12-01,2001-01-15,2.2712055932211297,,-6.46846165881628,,cointegration_invalid,0.27970197371527494,,-0.6419089093688815,,53.61,3.9817356178394463,,61.61,6.91,1.9329696377795786,,7.31
"(2392, 2460)",-2.6280215280358212,,2.0743477938964143,,1.7009698180147308,,2000-12-01,2001-01-29,1.3741777004494542,,-2.1826864409046274,,cointegration_invalid,0.17370335560255915,,-0.3603211724865729,,16.94,2.8296776892239084,,16.94,3.84,1.3454723665996355,,3.63
"(2420, 2460)",-2.810485606199308,-3.225246437449088,1.61991423202174,0.4667078462317077,1.5514560229529841,0.3642530532407892,2000-12-01,2001-01-29,0.9075737842569205,1.4960038993920317,0.244145355690224,-0.7585613740908577,take profit,0.15654755306097284,0.19703371292767474,-0.2535936091916484,-0.09195717979551166,4.45,1.4929040961781488,1.430311246536665,4.18,3.84,1.3454723665996355,1.2892326482767593,3.63
"(1471, 2431)",-2.897164447914167,,2.809787202423269,,2.801568161615068,,2000-12-18,2001-01-29,1.2718319099850095,,-0.2904631938625116,,cointegration_invalid,0.17211612667441442,,-0.48360969006043186,,6.34,1.8468787684491346,,6.34,4.83,1.5748464676644813,,6.01
"(2421, 2478)",-3.9197149942606924,-2.677406649921153,1.6313969917100895,0.08892244809594077,2.687261478877452,0.1523893026291793,2000-12-18,2001-01-29,0.8905090721577793,1.0325221033493501,1.259623147037771,0.9751417465466471,reversion,0.1433544719911937,0.1367926371491958,-0.23386805435462166,0.012163936176806223,4.11,1.4134230285081433,1.5871923034867805,4.89,9.82,2.2844211223663744,2.626116818339524,13.82
"(2421, 2483)",-3.4675970156180234,-2.932787291881827,1.6371911211998884,0.41236829493358684,2.1658159626571294,0.40056362880111385,2000-12-18,2001-01-29,0.8513527600127927,0.9568225055278439,1.5687235865233802,1.344603159932078,reversion,0.10661807904647812,0.11771652356357416,-0.17455417237428184,0.04854256210742047,4.11,1.4134230285081433,1.5871923034867805,4.89,13.43,2.5974910105351463,2.91180703861623,18.39
"(2421, 3026)",-4.33402002040566,-3.129344014042081,1.863920363896431,0.1932916206440479,4.552244623497368,0.13258984348053915,2000-12-26,2001-01-29,1.0261005087283754,1.185509614531216,1.9766702348537741,1.6824317937942568,reversion,0.22138421639410233,0.15924090447894465,-0.41264254918222143,0.030779932499559237,4.27,1.451613827240533,1.5871923034867805,4.89,21.19,3.0535293722802077,3.594843462187342,36.41
"(2421, 2492)",-3.292516169495332,-2.4862936798532713,2.5040670186850953,0.30678964618922927,3.590218898496627,0.5001933860063272,2000-12-26,2001-01-29,1.4839737865710318,1.657263704002914,1.1032718385319804,0.7517950353227885,take profit,0.16543687863798934,0.17810376050516316,-0.4142650314715979,-0.05464038967035023,4.27,1.451613827240533,1.5871923034867805,4.89,17.17,2.843163674909384,3.327550841493857,27.87
